time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,,time(sec), throughput(req/sec) 5, avg_lat(ms) 5,, throughput(req/sec) 6, avg_lat(ms) 6
170,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
175,273.6,1227.339,999.128,1016.865,1017.644,1018.349,1025.723,1027.849,18876.921,18896.423,0.001,,,,,,,
180,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
185,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
190,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
195,281.6,1256.121,999.499,1017.002,1017.713,1018.707,1042.338,1079.603,20966.571,22034.032,0.001,,,,,,,
200,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
205,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
210,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
215,3.2,2330.379,1867.823,1867.891,1867.925,2924.834,2925.111,2925.9,2925.9,2925.9,0,,,,,,,
220,303.6,1214.748,997.202,1016.742,1017.514,1018.346,1026.334,1058.879,19514.057,19589.967,0.001,,,,,,,
225,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
230,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
235,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
240,16,2133.897,1000.162,1850.674,2233.977,2392.866,2484.793,2788.511,2792.867,2792.867,0,,,,,,,
245,18.4,1806.359,1000.355,1768.172,1917.193,2008.633,2048.359,2049.556,2050.739,2050.739,0.001,,,,,,,
250,18.6,1808.551,999.734,1809.221,1899.553,1948.579,1983.552,1984.667,1984.708,1984.708,0.001,,,,,,,
255,274.4,1235.84,999.273,1016.703,1017.426,1018.337,1026.541,1068.903,18554.583,18898.896,0.001,,,,,,,
260,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
265,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
270,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
275,28.4,1482.133,999.939,1017.524,1018.773,2042.918,2425.661,2425.771,2483.123,2483.251,0.001,,,,,,,
280,279.2,1253.063,999.469,1016.911,1017.582,1018.355,1026.372,1050.452,20858.907,22233.887,0.001,,,,,,,
285,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
290,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
295,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
300,247.4,1036.894,999.297,1016.558,1017.307,1018.119,1028.732,1058.766,1559.593,2875.589,0.001,,,,,,,
305,114.8,1176.737,999.386,1016.528,1017.134,1017.966,1024.956,1159.857,6632.493,6633.692,0.001,,,,,,,
310,321.6,1036.231,999.452,1016.715,1017.341,1018.822,1083.166,1184.798,1309.703,1442.732,0.001,,,,,,,
315,779,1019.997,995.625,1016.517,1017.158,1017.906,1025.193,1027.458,1133.947,1184.85,0.001,,,,,,,
320,769.4,1020.404,997.277,1016.463,1017.091,1017.94,1026.637,1050.975,1093.163,1167.807,0.001,,,,,,,
325,823.8,1019.004,999.556,1016.438,1017.01,1017.696,1025.79,1034.088,1083.536,1167.837,0.001,,,,,,,
330,607.6,1025.943,999.521,1019.246,1021.593,1025.943,1053.248,1064.329,1095.289,1147.465,0.001,,,,,,,
335,695.4,1022.542,999.374,1018.443,1019.355,1020.551,1029.627,1061.172,1095.017,1145.603,0.001,,,,,,,
340,745.8,1021.085,999.581,1017.738,1018.561,1019.511,1028.023,1059.287,1092.579,1120.526,0.001,,,,,,,
345,788.8,1019.862,999.44,1017.261,1018.006,1018.86,1026.802,1049.41,1085.197,1102.769,0.001,,,,,,,
350,797.2,1019.682,998.966,1016.922,1017.697,1018.515,1026.3,1037.505,1101.115,1131.528,0.001,,,,,,,
355,812,1019.317,999.202,1016.766,1017.497,1018.254,1025.843,1035.336,1085.482,1130.471,0.001,,,,,,,
360,99.8,1594.624,999.728,1016.702,1017.409,1018.264,1025.593,1026.667,19066.588,19075.445,0.001,,,,,,,
365,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
370,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
375,176.8,1025.764,999.377,1016.83,1017.48,1018.52,1041.449,1124.647,1167.883,1168.181,0.001,,,,,,,
380,148.8,1427.597,999.127,1016.817,1017.485,1018.075,1026.272,1084.461,19980.338,19984.683,0.001,,,,,,,
385,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
390,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
395,7.6,1103.321,1001.278,1066.426,1067.713,1183.539,1184.723,1184.738,1184.743,1184.743,0.001,,,,,,,
400,355.6,1212.94,998.407,1016.667,1017.349,1018.1,1030.715,1092.017,1301.485,21940.502,0.001,,,,,,,
405,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
410,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
415,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
420,156.4,1023.07,999.619,1016.631,1017.316,1018.217,1033.506,1034.798,1241.992,1251.323,0.001,,,,,,,
425,209.4,1280.106,998.311,1016.695,1017.423,1018.168,1026.627,1059.065,18065.567,18099.495,0.001,,,,,,,
430,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
435,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
440,97,1053.632,999.263,1016.76,1017.861,1065.694,1183.901,1242.087,1284.655,1300.133,0.001,,,,,,,
445,568,1122.393,999.262,1016.807,1017.371,1018.208,1026.944,1066.941,1541.341,18533.741,0.001,,,,,,,
450,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
455,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
460,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
465,364.4,1140.102,999.522,1016.577,1017.338,1017.991,1025.682,1041.745,1102.42,14836.654,0.001,,,,,,,
470,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
475,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
480,330.8,1186.59,998.974,1016.656,1017.355,1018.129,1027.038,1067.475,1116.376,18172.523,0.001,,,,,,,
485,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
490,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
495,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
500,367.6,1176.003,999.488,1016.561,1017.253,1017.933,1026.403,1050.924,1150.347,18948.439,0.001,,,,,,,
505,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
510,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
515,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
520,345,1023.648,999.542,1016.63,1017.249,1018.042,1026.572,1059.187,1208.84,1285.502,0.001,,,,,,,
525,27.8,3069.556,1000.02,1016.707,1017.245,1018.063,18836.03,18837.142,18878.431,18878.431,0,,,,,,,
530,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
535,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
540,310.6,1020.368,997.302,1016.406,1017.118,1017.808,1027.416,1059.008,1092.489,1119.297,0.001,,,,,,,
545,80,1721.976,999.716,1016.629,1017.332,1018.191,1028.14,1082.293,18605.861,18614.422,0.001,,,,,,,
550,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
555,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
560,169.2,1036.492,999.36,1016.637,1017.313,1025.957,1123.397,1142.97,1225.887,1234.735,0.001,,,,,,,
565,249.2,1249.044,999.196,1016.476,1017.211,1017.985,1032.245,1049.432,18896.57,18947.152,0.001,,,,,,,
570,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
575,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
580,17,1114.754,1001.509,1100.015,1108.723,1125.055,1174.749,1232.585,1234.11,1234.11,0.001,,,,,,,
585,415,1157.428,994.979,1016.434,1017.164,1017.914,1025.659,1031.339,1083.888,19285.941,0.001,,,,,,,
590,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
595,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
600,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
605,475.2,1125.944,999.265,1016.5,1017.066,1017.709,1025.561,1030.121,1575.795,16915.399,0.001,,,,,,,
610,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
615,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
620,22.4,1104.302,999.826,1017.127,1017.759,1026.247,1366.589,1742.261,1743.432,1743.432,0.001,,,,,,,
625,415.2,1142.909,999.515,1016.363,1017.1,1017.849,1025.548,1028.389,1084.36,17251.606,0.001,,,,,,,
630,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
635,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
640,8,1773.607,1116.921,1808.874,1841.687,1917.974,2182.677,2183.794,2183.797,2183.797,0.001,,,,,,,
645,19.2,1822.328,1000.125,1824.78,1891.852,1942.68,1984.344,2057.853,2059.106,2059.106,0.001,,,,,,,
650,21.2,1760.489,999.987,1738.308,1825.383,1883.777,1975.664,2041.541,2041.801,2043.2,0.001,,,,,,,
655,104.4,1137.12,1000.29,1016.485,1017.164,1025.039,1799.746,1875.775,2032.853,2034.087,0.001,,,,,,,
660,387.2,1201.8,999.49,1016.361,1016.999,1017.547,1020.847,1026.385,1092.231,23536.551,0.001,,,,,,,
665,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
670,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
675,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
680,3.6,1725.575,1408.64,1742.08,1782.354,1783.567,1783.579,1783.97,1783.97,1783.97,0.001,,,,,,,
685,16.6,1908.084,1000.278,1575.176,1891.759,2341.624,2757.93,2757.979,2759.15,2759.15,0.001,,,,,,,
690,606.6,1055.091,999.427,1016.287,1016.833,1017.45,1024.842,1034.031,1191.387,7930.361,0.001,,,,,,,
695,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
700,509.6,1027.788,999.54,1016.255,1016.869,1017.585,1025.684,1049.311,1241.452,2232.859,0.001,,,,,,,
705,708.8,1022.165,999.409,1016.237,1016.844,1017.517,1025.054,1041.085,1091.654,1882.742,0.001,,,,,,,
710,13,5886.809,1000.719,1016.804,1017.558,1025.562,20846.868,20847.699,20848.854,20848.854,0,,,,,,,
715,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
720,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
725,8.8,1075.037,1000.652,1033.069,1099.828,1115.803,1133.377,1133.39,1133.436,1133.436,0.001,,,,,,,
730,793.2,1019.563,995.947,1016.117,1016.735,1017.351,1024.961,1048.473,1133.011,1234.631,0.001,,,,,,,
735,858.4,1018.132,999.239,1016.129,1016.733,1017.33,1019.966,1026.442,1082.283,1209.407,0.001,,,,,,,
740,874.8,1018.048,995.766,1016.242,1016.815,1017.466,1024.98,1026.389,1091.199,1111.213,0.001,,,,,,,
745,870,1017.805,997.383,1016.16,1016.813,1017.462,1024.777,1026.248,1076.675,1092.37,0.001,,,,,,,
750,868.8,1018.17,999.146,1016.259,1016.829,1017.495,1024.649,1026.563,1082.934,1159.141,0.001,,,,,,,
755,771.8,1086.853,999.531,1016.192,1016.889,1017.478,1024.988,1033.729,1091.517,17632.762,0.001,,,,,,,
760,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
765,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
770,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
775,607.6,1020.314,998.422,1016.238,1016.894,1017.493,1025.736,1050.221,1125.316,1193.077,0.001,,,,,,,
780,825.6,1018.872,989.949,1016.216,1016.912,1017.49,1025.13,1026.656,1092.454,2020.582,0.001,,,,,,,
785,858.2,1018.191,999.112,1016.276,1016.871,1017.515,1025.049,1026.338,1083.207,1117.642,0.001,,,,,,,
790,853.6,1018.226,982.873,1016.234,1016.863,1017.469,1024.874,1026.421,1083.618,1100.297,0.001,,,,,,,
795,852,1018.369,995.56,1016.27,1016.928,1017.519,1025.14,1031.056,1084.723,1101.285,0.001,,,,,,,
800,842.6,1018.595,999.034,1016.38,1016.952,1017.694,1025.282,1026.733,1075.876,1133.723,0.001,,,,,,,
805,697.2,1095.76,996.311,1016.49,1017.024,1017.724,1025.605,1031.393,1093.094,17861.061,0.001,,,,,,,
810,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
815,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
820,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
825,530.4,1090.564,999.361,1016.47,1016.983,1017.796,1026.005,1050.597,1099.893,12906.942,0.001,,,,,,,
830,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
835,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
840,501.8,1140.098,999.371,1016.501,1017.08,1017.939,1026.275,1050.931,1232.898,19731.118,0.001,,,,,,,
845,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
850,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
855,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
860,302.6,1020.203,999.423,1016.282,1016.983,1017.867,1026.23,1058.428,1094.676,1107.748,0.001,,,,,,,
865,277.2,1200.935,998.153,1016.215,1016.878,1017.492,1025.758,1059.383,16751.891,16786.874,0.001,,,,,,,
870,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
875,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
880,43.8,1968.562,999.313,1024.639,1028.078,1079.877,1364.601,13382.582,13425.988,13426.813,0.001,,,,,,,
885,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
890,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
895,51.2,1446.513,999.804,1022.937,1026.849,1090.65,1235.822,7150.203,7279.41,7279.566,0.001,,,,,,,
900,46,1297.192,999.62,1022.609,1026.536,1064.129,1110.993,4730.531,4732.728,4732.738,0.001,,,,,,,
905,161.8,1056.526,999.715,1021.733,1024.051,1055.495,1106.113,1148.802,1592.218,1593.393,0.001,,,,,,,
910,26.2,2572.4,1000.226,1020.195,1020.768,1023.367,13715.182,13745.81,13746.955,13758.463,0,,,,,,,
915,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
920,47.2,1143.958,999.893,1068.565,1136.479,1201.034,1250.708,1299.618,1304.251,1304.728,0.001,,,,,,,
925,20.2,3238.666,999.807,1021.635,1022.888,1024.06,15054.347,15055.546,15055.618,15067.187,0,,,,,,,
930,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
935,42.2,1732.985,1000.088,1022.034,1026.341,1073.249,1163.374,10063.374,10225.245,10234.733,0.001,,,,,,,
940,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
945,70.2,1824.777,1000.002,1020.038,1021.367,1068.556,1146.008,1194.505,18185.361,18194.66,0.001,,,,,,,
950,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
955,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
960,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
965,132.6,1073.659,999.326,1019.354,1021.27,1107.779,1187.753,1239.29,1571.729,1571.794,0.001,,,,,,,
970,289,1217.917,999.361,1018.738,1019.97,1022.2,1062.844,1104.318,17327.839,17380.267,0.001,,,,,,,
975,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
980,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
985,8.8,1138.497,1000.878,1070.461,1153.555,1220.096,1252.933,1252.938,1253.134,1253.134,0.001,,,,,,,
990,105.4,1161.506,999.919,1019.044,1020.254,1051.559,1170.324,1254.418,4952.126,4953.296,0.001,,,,,,,
995,275.4,1245.052,999.477,1018.4,1019.291,1020.646,1054.389,1135.558,18266.056,18369.728,0.001,,,,,,,
1000,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1005,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1010,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1015,332.6,1213.252,999.38,1017.883,1018.626,1019.678,1052.22,1101.921,1926.192,19868.591,0.001,,,,,,,
1020,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1025,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1030,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1035,138,1028.149,999.674,1017.35,1018.303,1019.22,1052.162,1103.465,1276.385,1277.858,0.001,,,,,,,
1040,237.2,1309.907,999.371,1017.41,1018.186,1019.075,1029.086,1060.763,21232.49,21617.238,0.001,,,,,,,
1045,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1050,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1055,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1060,160.8,1039.24,999.44,1017.64,1018.291,1019.237,1059.299,1110.192,1851.345,1851.803,0.001,,,,,,,
1065,32.8,2744.48,1000.359,1017.487,1018.104,1019.319,1029.203,18724.201,18732.889,18732.979,0,,,,,,,
1070,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1075,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
1080,183.8,1053.33,999.604,1017.523,1018.36,1019.214,1028.407,1068.741,2570.015,2585.475,0.001,,,,,,,
1085,7.8,10621.819,1000.982,1926.81,2477.924,23171.414,23171.807,23172.556,23172.574,23172.574,0,,,,,,,
1090,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
